Obtaining average intraday spreads for all nodes: 
Sorting dictionary
Number of nodes:  2404
Top 5
('02TAT-115', 1279.3892469352015) 1142
('02PUE-115', 1273.5770928196148) 1142
('02PEA-115', 1272.0814186851212) 867
('02MLN-115', 1270.4979509632226) 1142
('02JAA-115', 1267.2775919439578) 1142
('02COM-115', 1264.6117338003503) 1142
('02PRQ-115', 1264.506812609457) 1142
('02DBX-115', 1263.643975481611) 1142
('02CAX-115', 1263.4338791593696) 1142
('02TMZ-69', 1263.114117647059) 34
('02TLN-115', 1262.7801225919438) 1142
('02NPX-115', 1262.7778196147108) 1142
('02CNX-115', 1262.729859894921) 1142
('02CSX-115', 1262.729859894921) 1142
('02PSO-115', 1262.523555166375) 1142
('02CHT-115', 1261.4777145359017) 1142
('02DUA-115', 1261.050350262697) 1142
('02CAO-115', 1260.8909982486866) 1142
('02RFA-115', 1260.1525394045536) 1142
('02ICD-115', 1256.169238178634) 1142
('02CDN-115', 1256.0542907180386) 1142
('02CDD-115', 1253.9665674255693) 1142
('02CSU-115', 1251.3657880910682) 1142
('02CGN-115', 1239.7532486865148) 1142
('02MPR-115', 1239.4553852889665) 1142
('02HMG-115', 1236.316690017513) 1142
('05SAJ-115', 1236.300683012259) 1142
('02GIR-115', 1227.5370052539404) 1142
('02CNM-115', 1227.0200700525393) 1142
('02POC-115', 1226.848397548161) 1142
('05CAT-115', 1226.3537302977234) 1142
('02ITU-115', 1220.0070227670753) 1142
('02TXI-115', 1219.419588441331) 1142
('01CFD-230', 1216.3800534759357) 748
('05GVI-115', 1215.2858581436078) 1142
('05CIE-115', 1215.2361208406303) 1142
('02YOL-115', 1214.6948423817864) 1142
('01SKP-85', 1214.530494938133) 889
('05CID-115', 1214.1035288966725) 1142
('02OCO-115', 1213.8113222416812) 1142
('02PPX-115', 1213.030385288967) 1142
('02MPS-115', 1212.7786084142394) 927
('02HUJ-69', 1212.711112084063) 1142
('02TAD-115', 1211.8396147110334) 1142
('02LJU-115', 1210.634527145359) 1142
('03MST-115', 1210.3790983606557) 854
('03CMF-115', 1209.604461358314) 854
('02MEZ-115', 1209.4587302977234) 1142
('02HJP-115', 1209.351129597198) 1142
('02IVH-115', 1207.0711864406778) 531
('02NCH-115', 1206.5331085814362) 1142
('02TCX-115', 1205.7822767075306) 1142
('02PEA-230', 1205.6825569176883) 1142
('05SMO-115', 1204.5925481611207) 1142
('02SSM-115', 1203.4584500875656) 1142
('02CLO-115', 1202.4418737060043) 966
('02MHT-115', 1201.9458143607708) 1142
('02OXC-115', 1201.487635726795) 1142
('02PPG-115', 1201.0509019264448) 1142
('02TIL-69', 1200.8897898423818) 1142
('05GCH-115', 1200.7926269702277) 1142
('03MGU-115', 1200.5638266199649) 1142
('02MUD-115', 1199.4139316987741) 1142
('02SMF-115', 1198.835105078809) 1142
('02GIS-115', 1198.8335551663747) 1142
('02CUX-115', 1198.2909982486863) 1142
('02TNI-115', 1196.8756527093597) 812
('05OJI-115', 1196.8445446584938) 1142
('02HCO-115', 1196.6650000000002) 1142
('02DBC-230', 1194.2124431818181) 528
('02LPA-115', 1194.0139579684762) 1142
('02TYS-115', 1193.992195121951) 656
('02AEN-115', 1193.5995971978984) 1142
('03FAJ-115', 1193.4711821366022) 1142
('02ACA-115', 1193.3037915936955) 1142
('02MDG-115', 1192.8427074235808) 687
('02FCM-115', 1192.771751313485) 1142
('02CNJ-115', 1192.4670227670752) 1142
('02CJT-115', 1192.0083012259195) 1142
('05BAC-115', 1191.059054290718) 1142
('05PAL-115', 1190.9760770577934) 1142
('02JTL-115', 1190.382057793345) 1142
('05LRE-115', 1190.1345183887918) 1142
('05PTJ-115', 1189.5045359019264) 1142
('02IZM-115', 1189.3785901926447) 1142
('02MTX-115', 1189.3718914185638) 1142
('02EJT-115', 1188.3272329246936) 1142
('02IZD-115', 1188.1886952714535) 1142
('02TLL-115', 1187.77146234676) 1142
('02MTO-115', 1187.110017513135) 1142
('02ETX-115', 1186.7288528896672) 1142
('02OAX-115', 1186.4135113835375) 1142
('02OAP-115', 1185.3847810858142) 1142
('01CFZ-85', 1183.8163660245184) 1142
('02JOC-230', 1183.7223845327605) 931
('05BLV-115', 1183.5754203152364) 1142
('02TLE-115', 1183.4420490367777) 1142
('02MCN-115', 1183.019316987741) 1142
('02SCO-115', 1182.6615411558669) 1142
('05PAR-115', 1182.4214711033273) 1142
('05DUR-115', 1182.2221891418562) 1142
('05ALV-115', 1182.071917688266) 1142
('02PED-115', 1181.7075656742556) 1142
('02SFO-115', 1180.8372154115586) 1142
('02HTP-115', 1180.4340280210156) 1142
('02OXD-115', 1180.4056217162872) 1142
('01JUA-85', 1179.8122329246933) 1142
('04VDY-115', 1178.8078896672503) 1142
('02RMC-115', 1178.6273380035025) 1142
('05DIV-115', 1178.5892469352016) 1142
('02PZR-115', 1178.1604553415061) 1142
('02BDD-115', 1178.138949211909) 1142
('01AAN-85', 1178.074772329247) 1142
('02TTP-115', 1177.9688966725043) 1142
('02LRD-115', 1177.8283450087565) 1142
('05SFO-115', 1177.824176882662) 1142
('02ADS-115', 1177.5768563922943) 1142
('05BBA-115', 1176.5837127845884) 1142
('04SBK-115', 1176.2812784588443) 1142
('04SBO-115', 1176.0609019264446) 1142
('04VCM-115', 1175.1149387040277) 1142
('02CHP-115', 1175.0228021015762) 1142
('05OAS-115', 1174.8209194395797) 1142
('05NHO-115', 1174.7421891418564) 1142
('05SGU-115', 1174.579605954466) 1142
('02CTO-115', 1174.2658143607707) 1142
('04SBU-115', 1173.541978984238) 1142
('05MDO-115', 1173.4185901926446) 1142
('04SEL-115', 1173.3211558669002) 1142
('04SNC-115', 1173.294544658494) 1142
('04SBN-115', 1173.1065936952714) 1142
('04TST-115', 1173.0901401050787) 1142
('05BSM-115', 1172.8546409807354) 1142
('01NAR-85', 1172.7907109448083) 1069
('02HUU-115', 1172.7051663747811) 1142
('02MTL-115', 1172.606619964974) 1142
('01PMX1115', 1172.3944874274662) 517
('02AVD-115', 1171.909588441331) 1142
('02IXJ-115', 1171.7840017513136) 1142
('05PDA-115', 1171.662136602452) 1142
('01ASK-230', 1171.5572555948174) 849
('05THS-115', 1171.5010420315236) 1142
('04SBC-115', 1171.4075043782839) 1142
('02ABL-115', 1171.3092556917688) 1142
('04LMA-115', 1171.0715586690017) 1142
('02CRI-115', 1170.928003502627) 1142
('02TAN-115', 1170.8471453590191) 1142
('02ZIP-115', 1170.5956654991244) 1142
('05PLA-115', 1170.2196760070053) 1142
('04MLA-115', 1169.9513572679507) 1142
('05CRL-115', 1169.5995534150613) 1142
('05PMS-115', 1169.3931085814363) 1142
('02MPS-400', 1169.1880385288966) 1142
('04STI-115', 1169.0742907180384) 1142
('02TSD-230', 1168.4925744308232) 1142
('02PDI-115', 1168.455735551664) 1142
('02BNL-115', 1168.3069264448336) 1142
('05SGP-115', 1168.2303677758318) 1142
('02OLN-115', 1168.2102714535902) 1142
('02HUX-115', 1168.1733975481611) 1142
('02PEC-115', 1167.974036777583) 1142
('02MIP-115', 1167.7944921190895) 1142
('02LTP-115', 1167.7827495621718) 1142
('04SBZ-115', 1167.5312784588443) 1142
('02CAZ-115', 1167.2713660245186) 1142
('02LMM-115', 1167.2303064798598) 1142
('02MPH-115', 1167.222732049037) 1142
('02TNJ-115', 1167.2174168126096) 1142
('02PUM-115', 1166.8807705779334) 1142
('02CFV-115', 1166.7834238178634) 1142
('05PRA-115', 1166.7238528896671) 1142
('02LAT-115', 1166.5206654991243) 1142
('02TUQ-115', 1166.5057180385288) 1142
('02ARC-115', 1166.378852889667) 1142
('04CRD-115', 1166.3766812609456) 1142
('02CAY-115', 1166.373292469352) 1142
('04CDP-115', 1166.3678721541157) 1142
('02VFD-115', 1166.3136777583188) 1142
('02THN-115', 1165.9505166374781) 1142
('02CSS-115', 1165.8542907180383) 1142
('02PYS-115', 1165.8509369527146) 1142
('02TPI-115', 1165.8377232924693) 1142
('05LSA-115', 1165.834956217163) 1142
('02REN-115', 1165.8314535901927) 1142
('02CUG-115', 1165.7927845884412) 1142
('04SBE-115', 1165.7686777583187) 1142
('02SCF-115', 1165.6801488616463) 1142
('04AAM-115', 1165.6751138353766) 1142
('02SNL-115', 1165.593598949212) 1142
('02TNA-115', 1165.3793169877408) 1142
('02MCB-115', 1165.3587828371278) 1142
('02CPA-115', 1165.3473905429073) 1142
('04ACU-115', 1165.3026094570928) 1142
('04EDR-115', 1165.2716776625825) 1061
('04SBS-115', 1165.1610595446587) 1142
('02CGO-115', 1164.8717950963223) 1142
('02MRA-115', 1164.6755429071807) 1142
('05TMA-115', 1164.6515674255693) 1142
('02PAG-115', 1164.6269877408056) 1142
('02ETT-115', 1164.454816112084) 1142
('02QMD-69', 1164.396646234676) 1142
('02QMD-115', 1164.396646234676) 1142
('04SBD-115', 1164.3598686514886) 1142
('02AYA-115', 1164.3455253940454) 1142
('02HOC-115', 1164.3147373029774) 1142
('02APC-115', 1164.1840893169876) 1142
('03CHC-69', 1164.1050437828371) 1142
('04SBT-115', 1164.0210420315236) 1142
('02VRU-115', 1163.9542819614712) 1142
('02GAR-115', 1163.858905429072) 1142
('05ESC-115', 1163.484299474606) 1142
('02BDR-115', 1163.279938704028) 1142
('02MOZ-115', 1163.2218476357268) 1142
('04SBI-115', 1162.9614273204904) 1142
('02JBL-115', 1162.8455866900174) 1142
('02PYN-115', 1162.8218563922942) 1142
('05GNA-115', 1162.5423817863398) 1142
('02LGZ-115', 1162.505805604203) 1142
('02SOD-115', 1162.5009632224167) 1142
('02TIE-115', 1162.4991681260947) 1142
('05HCL-230', 1162.4501663747812) 1142
('02SCH-115', 1162.4093782837128) 1142
('02IFN-115', 1161.958835376532) 1142
('02TTA-115', 1161.9561120840629) 1142
('02BRS-115', 1161.8575656742555) 1142
('02RME-115', 1161.4710332749562) 1142
('02TCH-115', 1161.3727320490368) 1142
('05CON-115', 1160.9139667250438) 1142
('02BDZ-115', 1160.8461996497372) 1142
('04QLA-115', 1160.7497285464099) 1142
('02AMN-115', 1160.3589754816112) 1142
('02PUC-115', 1159.7887215411558) 1142
('02CCL-69', 1159.6098598949213) 1142
('02PTM-115', 1159.600840630473) 1142
('02CIL-115', 1159.4490192644485) 1142
('04SPP-115', 1159.4260683012258) 1142
('02AHZ-115', 1159.3539667250438) 1142
('05SSM-115', 1159.294921223355) 1079
('02TOE-115', 1159.11584938704) 1142
('02MAP-115', 1159.1120840630472) 1142
('02ICS-115', 1159.010043782837) 1142
('02DBC-115', 1158.7701751313487) 1142
('02TJR-115', 1158.737451838879) 1142
('02FRY-115', 1158.6236252189142) 1142
('05PRR-115', 1158.6205516637478) 1142
('02GRA-115', 1158.5068476357267) 1142
('05AGE-115', 1158.5041418563924) 1142
('02ARR-115', 1158.4993782837128) 1142
('05SBV-115', 1158.492145359019) 1142
('02MID-115', 1158.2250087873463) 569
('05JEZ-115', 1157.9595183887916) 1142
('05CEB-115', 1157.8174343257442) 1142
('05SIG-115', 1157.7959106830122) 1142
('04EPM-115', 1157.758274956217) 1142
('05GML-115', 1157.3856479859896) 1142
('02ACZ-115', 1157.1888178633976) 1142
('05FTS-115', 1156.9178196147109) 1142
('05GAV-115', 1156.907985989492) 1142
('05CMN-115', 1156.865287464656) 1061
('04SCR-115', 1156.753660245184) 1142
('02CYC-115', 1156.7495359019267) 1142
('02PDT-115', 1156.6823817863399) 1142
('02IGU-115', 1156.473992994746) 1142
('04CLA-115', 1156.2397985989494) 1142
('02TCE-115', 1156.221856392294) 1142
('02SWA-115', 1155.7334957369062) 821
('02TXO-115', 1155.7216725043781) 1142
('05BAS-115', 1155.5951576182135) 1142
('04MCM-115', 1155.5011646234675) 1142
('04SGU-115', 1155.170183887916) 1142
('05CLG-115', 1155.1342206654992) 1142
('05VSM-115', 1155.1080735551664) 1142
('05TEC-115', 1155.0790192644483) 1142
('05JOS-115', 1154.9950175131348) 1142
('05BUF-115', 1154.9691243432574) 1142
('02CIP-115', 1154.9549036777582) 1142
('05VAH-115', 1154.926996497373) 1142
('05LAG-115', 1154.8686514886165) 1142
('05CAR-115', 1154.8202977232925) 1142
('05NCB-115', 1154.8002364273207) 1142
('02SNF-115', 1154.5426882661995) 1142
('02CRL-115', 1154.5249824868652) 1142
('05AON-115', 1154.4907968476357) 1142
('02HEL-115', 1154.4672942206655) 1142
('09LBR-230', 1154.4604881101377) 799
('05LPL-115', 1154.442425569177) 1142
('03BOL-115', 1154.4018388791592) 1142
('03BLA-115', 1154.305823117338) 1142
('05RIF-115', 1154.285201401051) 1142
('02PLB-115', 1153.9911471103326) 1142
('05ROB-115', 1153.9585551663747) 1142
('01AGV-85', 1153.9086952714536) 1142
('01PSR-85', 1153.862136602452) 1142
('02AMZ-115', 1153.8258231173381) 1142
('02MEC-115', 1153.8043257443082) 1142
